ID;IdCliente;FechaRecepcion;IdTipoEquipo;RAM;PlacaMadre;MarcaModelo;Microprocesador;Almacenamiento;CdDvd;Fuente;Adicionales;NumSerie;IdTipoServicio;Descripcion;CostoRepuestos;CostoTerceros;CostoCG;CostoTotal;FechaDevolucion;Ganancia;Estado
73;45;10/1/2021 00:00:00;3;-;-;Commodore;-;-;-;-;-;-;3;Se reparó configuración de inicio de sistema operativo.;0,0000;0,0000;1000,0000;1000,0000;15/3/2021 00:00:00;1000,0000;True;
74;41;13/1/2021 00:00:00;1;-;-;Sentey;-;-;-;-;-;-;3;Se realizó un cambio de placa madre y  una limpieza interna y externa.;5500,0000;0,0000;1000,0000;6500,0000;15/1/2021 00:00:00;1000,0000;True;
75;1;18/1/2021 00:00:00;9;-;-;Samsung J6;-;-;-;-;-;-;3;Se realizó un cambio de micrófono.;0,0000;3500,0000;500,0000;4000,0000;19/1/2021 00:00:00;500,0000;True;
76;34;18/1/2021 00:00:00;3;-;-;HP G42;-;-;-;-;-;-;3;Cambio de teclado.;2620,0000;0,0000;680,0000;3300,0000;2/2/2021 00:00:00;680,0000;True;
77;34;18/1/2021 00:00:00;5;-;-;Samsung Tab S T800;-;-;-;-;-;-;3;Cambio de display y touchscreen.;2500,0000;0,0000;1000,0000;3500,0000;2/2/2021 00:00:00;1000,0000;True;
78;36;6/2/2021 00:00:00;10;-;-;Sony Play Station 3;-;-;-;-;-;-;3;Cambio de módulo de WiFi / Bluetooth e instalación de sistema operativo.;0,0000;5000,0000;1000,0000;6000,0000;11/2/2021 00:00:00;1000,0000;True;
79;30;3/3/2021 00:00:00;9;-;-;Iphone X;-;-;-;-;-;-;3;Limpieza de auricular, cambio de speaker y cambio de modulo. Colocación de film hidrogel.;15320,0000;0,0000;5000,0000;20320,0000;6/3/2021 00:00:00;5000,0000;True;
80;11;3/3/2021 00:00:00;3;-;-;Lenovo G470;-;-;-;-;-;-;3;Se cambió flex de pantalla. Se repararon bisagras de pantalla. Se realizó una limpieza interna.;2500,0000;0,0000;1500,0000;4000,0000;19/3/2021 00:00:00;1500,0000;True;
81;37;5/3/2021 00:00:00;3;-;-;Bangho Max G5 i1;-;-;-;-;-;-;3;Formateo sin backup (wWin 10 pro).;0,0000;0,0000;1500,0000;1500,0000;5/3/2021 00:00:00;1500,0000;True;
82;37;5/3/2021 00:00:00;2;-;-;Bangho E2120;-;-;-;-;-;-;3;Limpieza de software innecesario (antivirus) y activación de windows y office.;0,0000;0,0000;1000,0000;1000,0000;5/3/2021 00:00:00;1000,0000;True;
83;21;12/3/2021 00:00:00;9;-;-;Samsung J6 Plus;-;-;-;-;-;-;3;Cambio de modulo.;5200,0000;0,0000;900,0000;6100,0000;17/3/2021 00:00:00;900,0000;True;
84;17;13/3/2021 00:00:00;13;-;-;DVR y cámaras;-;-;-;-;-;-;2;Se cambiaron 4 cámaras por nuevas, se repararon conexiones a baluns, se recablearon 2 cámaras (80m.), y se cambió un balun de video. ;17100,0000;6500,0000;9000,0000;32600,0000;9/5/2021 00:00:00;9000,0000;True;
85;14;15/3/2021 00:00:00;9;-;-;Samsung A30 A305g;-;-;-;-;-;-;3;Cambio de modulo.;5250,0000;0,0000;2750,0000;8000,0000;18/3/2021 00:00:00;2750,0000;True;
86;27;1/4/2021 00:00:00;3;-;-;Acer Aspire V5-431-4843;-;-;-;-;-;-;3;Se desinstaló un programa de PLC, se instaló Office 2016, se limpió software y se limpio hardware exterior.;0,0000;0,0000;700,0000;700,0000;1/4/2021 00:00:00;700,0000;True;
87;27;1/4/2021 00:00:00;3;-;-;Asus;-;-;-;-;-;-;3;Se instaló Office 2016, se limpió software y se limpio hardware exterior.;0,0000;0,0000;700,0000;700,0000;1/4/2021 00:00:00;700,0000;True;
88;18;16/4/2021 00:00:00;2;-;-;Lenovo C225;-;-;-;-;-;-;3;Se realizó un formateo sin backup. Se instaló Windows 7 ultimate x64 y programas básicos.;0,0000;0,0000;2500,0000;2500,0000;16/4/2021 00:00:00;2500,0000;True;
89;18;16/4/2021 00:00:00;3;-;-;Sony Vaio VPCEB17FL;-;-;-;-;-;-;3;Se realizó una limpieza y una optimización de software.;0,0000;0,0000;800,0000;800,0000;16/4/2021 00:00:00;800,0000;True;
90;23;6/5/2021 00:00:00;3;-;-;Lenovo Ideapad 110;-;-;-;-;-;-;3;Se realizó un cambio de disco por SSD 240Gb y backup. Se instaló Windows 10 y programas básicos;0,0000;0,0000;2000,0000;2000,0000;8/5/2021 00:00:00;2000,0000;True;
91;52;18/5/2021 00:00:00;3;-;-;Bangho Futura 1500;-;-;-;-;-;220272;3;Formateo con backup (Win10 Pro x64). Y limpieza interna y externa. Se realizó reparación en carcaza (diagonal superior izquierda). Se compró un cargador nuevo. Se cambió cooler de microprocesador.;2400,0000;0,0000;5000,0000;7400,0000;21/5/2021 00:00:00;5000,0000;True;
92;10;6/7/2021 00:00:00;3;-;-;Compaq Presario CQ40;-;-;-;-;-;-;3;Cambio de display. Limpieza de software. Actualización de Office 2007 a 2016.;14600,0000;0,0000;2400,0000;17000,0000;15/7/2021 00:00:00;2400,0000;True;
93;25;13/8/2021 00:00:00;3;-;-;HP 15-ay015la;-;-;-;-;-;-;3;Instalación de disco SSD Colorful 240 Gb. Instalación de S.O. Windows 10 Pro x64 y programas básicos.;4400,0000;0,0000;3000,0000;7400,0000;18/8/2021 00:00:00;3000,0000;True;
94;46;18/8/2021 00:00:00;6;-;-;HP F4280 ;-;-;-;-;-;-;3;Reemplazo de placa sensora de cartuchos. Remanufacturación de sistema de tracción de papel. Remanufacturación de la unidad de limpieza. Mantenimiento gral exhaustivo.;0,0000;4700,0000;1300,0000;6000,0000;27/8/2021 00:00:00;1300,0000;True;
95;26;9/9/2021 00:00:00;9;-;-;Motorola Moto G6;-;-;-;-;-;-;3;Placa mojada. Reparación interna de placa. OVP + secado y limpieza.;0,0000;4000,0000;1000,0000;5000,0000;13/9/2021 00:00:00;1000,0000;True;
96;28;11/9/2021 00:00:00;13;-;-;Cámaras;-;-;-;-;-;-;2;Se realizó una limpieza profunda, cambio de pasta térmica y ordenamiento de cableado. Se agregó un disco SSD Kingston 240GB, una memoria RAM de 8GB DDR3. Se realizó un formateo con Windows 10 pro x64 y programas básicos.;15600,0000;2765,0000;3300,0000;21665,0000;11/9/2021 00:00:00;3300,0000;True;
101;63;20/11/2021 00:00:00;1;10 GB;Asus A558M-K;Netsys;AMD A4-4000 APU 3Ghz;SSD 240GB y HDD 300GB;Lectograbadora CD/DVD;NogaNet ATX-500 P4 500W;-;-;3;Se realizó una limpieza profunda, cambio de pasta térmica y ordenamiento de cableado.  Se agregó un disco SSD Kingston 240GB, una memoria RAM de 8GB DDR3.  Se realizó un formateo con Windows 10 pro x64 y programas básicos. La lectora de CD/DVD no abre la tapa.;10250,0000;0,0000;4000,0000;14250,0000;27/11/2021 00:00:00;4000,0000;True;
102;18;3/11/2021 00:00:00;6;-;-;Epson TX135;-;-;-;-;Sistema contínuo;NBHZ170860;3;Bandeja de salida de papel rota. Reparación en el cabezal de impresión. Remanufacturación de unidad de limpieza. Reemplazo de chip de sistema contínuo. Lavado de sistema contínuo y reempazo de tintas. Remanufacturación del sistema de tracción de papel. Mantenimiento general.;0,0000;8500,0000;1500,0000;10000,0000;1/12/2021 00:00:00;1500,0000;True;
103;65;15/12/2021 00:00:00;3;3 GB;Sony;Sony Vaio VPCEB3E9E;Intel i3 M 370 2.40Ghz;Disco HDD 300Gb;Lectograbadora CD/DVD;Batería (no funciona sin cargador);Cargador;-;3;Se realizó un formateo con backup en disco externo del cliente. Se instaló Windows 7 ultimate x64 y programas básicos. Se realizó limpieza interna/externa completa y cambio de pasta térmica.;0,0000;0,0000;3000,0000;3000,0000;17/12/2021 00:00:00;3000,0000;True;
